Latitude,Longitude,Murder,Theft,Rape,Eve tease,Kidnapping,Accidents,Camera
28.13033921,69.12816265,3,14,0,7,5,7,1
14.60776687,69.12837104,7,14,4,25,10,52,0
16.16837352,69.12841248,2,70,4,18,11,51,0
25.94156984,69.12900803,4,67,0,15,0,45,0
23.18960303,69.12922487,9,99,7,12,7,12,1
26.2597201,69.12933708,4,75,9,21,10,31,0
29.71798405,69.12938038,7,76,4,21,8,9,1
18.2598401,69.12942195,3,31,8,2,7,36,1
17.71637428,69.12949374,3,74,9,25,4,10,0
27.89068415,69.1296493,3,49,6,18,13,46,1
24.01775844,69.12970716,8,34,2,18,6,46,1
29.94744692,69.13017974,4,27,4,24,9,36,1
29.41135861,69.13071174,6,66,3,3,1,18,0
27.65524214,69.13104179,6,92,6,25,13,22,0
29.1408046,69.13107652,1,93,3,3,1,26,0
24.4329033,69.1311085,7,7,2,8,7,38,1
23.10730594,69.13111118,5,19,6,18,9,48,1
24.02337302,69.13111374,3,81,4,23,12,24,0
24.86922444,69.1320166,1,85,7,17,13,14,0
23.60647064,69.13213327,2,48,7,18,4,6,1
12.15170061,69.13228019,8,96,2,5,2,36,1
16.68712748,69.13283078,6,54,4,11,14,60,1
25.59120279,69.13296564,4,37,3,19,6,34,1
13.92969975,69.13298587,5,35,8,0,9,27,1
22.27270346,69.13306775,3,83,9,2,10,41,1
11.96078701,69.13316869,9,39,2,15,14,20,0
28.85267121,69.1332013,7,15,4,23,1,59,0
26.23324486,69.13325094,2,35,5,10,13,34,1
27.3913651,69.13341925,9,17,3,18,9,49,0
24.56878292,69.13367002,9,30,8,2,3,12,0
10.81499552,69.13380941,3,60,6,12,8,14,0
23.98455771,69.13383884,4,81,5,4,14,14,0
20.1640591,69.13417066,5,19,10,7,3,56,1
13.56684941,69.13429723,9,42,3,7,5,54,1
25.1214817,69.13438731,4,44,9,24,8,34,0
18.14745022,69.1346117,3,4,2,4,10,21,0
18.51403676,69.13498258,6,33,1,17,2,49,1
24.7827285,69.13508682,2,73,3,20,7,46,1
17.74823952,69.13542314,2,34,8,13,11,34,1
12.5985781,69.13560205,10,100,6,1,12,54,0
21.84562572,69.13586001,5,62,0,20,5,52,1
11.29019832,69.13600665,4,15,1,11,1,16,1
14.37820167,69.1360412,1,37,4,24,7,55,1
24.70369079,69.13623716,3,50,8,24,3,50,0
19.91367153,69.13646194,3,35,9,4,15,41,1
24.19914865,69.13662715,6,56,3,18,1,34,1
18.86844011,69.13669677,8,76,2,19,9,43,1
13.1051243,69.13671052,2,48,8,5,15,48,0
11.00592321,69.13671579,5,68,6,23,9,5,0
13.89962885,69.1369745,1,51,4,16,14,38,0
27.63657095,69.13706694,3,7,0,6,4,5,0
29.04460275,69.13725525,1,94,1,21,12,56,0
18.38175908,69.13727974,5,49,0,25,3,37,0
20.65671935,69.13740089,7,64,1,3,0,53,1
16.33539154,69.13780079,7,30,7,8,6,51,1
27.38607908,69.13797807,1,64,1,2,12,58,1
19.47447627,69.13800768,0,22,7,4,9,49,0
19.8975909,69.1380386,2,1,10,6,14,2,0
18.53691921,69.13805956,9,34,10,0,2,39,1
14.63052752,69.13810049,5,53,0,22,10,21,1
24.61137009,69.1381414,2,5,10,19,7,19,0
12.59831002,69.13853384,7,58,7,12,1,57,1
24.89839757,69.13865438,5,26,5,18,14,5,1
11.29204477,69.13886879,4,67,6,10,5,45,0
13.25166243,69.13909568,2,78,3,11,3,44,0
11.6619977,69.13919686,5,60,5,21,8,38,1
17.97684633,69.13994686,9,46,1,25,5,25,0
16.71582493,69.14001617,1,98,9,23,3,21,0
20.22493541,69.14009181,4,8,4,13,14,3,1
24.37274928,69.14016153,6,37,7,21,1,34,0
29.31530208,69.1404672,1,82,5,18,12,34,1
20.5448003,69.14051758,8,12,6,14,11,8,1
18.01977257,69.14059172,6,27,7,25,8,51,0
29.27821299,69.14065391,3,54,3,8,10,7,0
11.40492992,69.14083849,3,44,3,25,4,32,0
19.67982811,69.14090609,9,69,2,3,5,4,1
14.794433,69.14114733,6,16,3,5,9,4,1
21.52900881,69.1413898,1,43,5,25,1,59,1
21.99598026,69.14157157,5,17,6,14,7,48,1
21.32578224,69.14168272,6,26,7,14,12,34,0
22.30768094,69.14173701,9,37,9,1,10,46,0
18.25904704,69.14175605,8,26,8,3,5,2,0
21.62397266,69.14243454,6,62,6,4,15,32,1
11.00769446,69.14259613,1,46,5,0,9,8,0
16.97275787,69.14266148,3,19,7,21,15,18,0
26.96452751,69.14272361,9,96,0,4,8,38,1
21.54518912,69.14273048,8,67,2,13,13,29,1
23.95184786,69.14281805,7,27,9,1,14,37,0
10.86842432,69.14290941,9,42,8,7,2,29,1
10.99099495,69.14301402,6,56,6,4,7,18,1
18.63038165,69.14330294,7,4,0,14,6,1,0
26.20385263,69.14346036,2,91,6,1,9,24,1
25.77573371,69.14377639,7,13,4,9,7,29,1
26.92670059,69.14395792,8,7,3,12,7,47,1
28.7486273,69.14395859,8,21,7,18,2,21,1
11.75606105,69.14400619,4,7,1,24,13,5,0
18.40586436,69.14414392,9,18,6,8,14,28,0
23.18014384,69.14421544,4,17,3,14,13,4,0
12.57087079,69.14440908,7,57,0,1,4,19,1
21.77561915,69.14468519,2,96,9,12,14,19,0
23.48829202,69.14478233,5,82,0,17,7,15,1
29.85343221,69.14488129,8,94,7,8,8,14,0
18.67991608,69.1449487,2,40,6,5,11,29,1
24.09655211,69.1449842,6,0,5,24,3,5,0
22.48927107,69.1451403,5,43,5,6,12,56,1
17.57566415,69.14563202,9,45,1,14,5,14,0
23.93732445,69.14581108,2,88,6,16,13,33,1
14.97216261,69.14583868,3,15,1,9,6,36,1
12.53138843,69.14656885,10,27,0,7,2,60,1
16.40534435,69.14709303,4,53,7,11,2,19,1
22.99213348,69.14712021,3,73,7,7,12,20,0
26.29934694,69.147208,4,41,5,1,6,42,1
19.34878462,69.14731322,4,39,3,5,3,25,0
20.743311,69.14732004,2,90,9,14,9,51,1
16.09985953,69.14757051,8,20,9,20,13,26,1
15.72370632,69.1478599,0,89,1,15,8,21,1
24.57086537,69.14786362,1,39,3,8,13,54,1
16.03702673,69.1479983,5,73,6,8,9,54,1
27.775082,69.14805295,2,26,8,4,14,34,1
28.71472382,69.14805494,4,67,5,1,4,21,0
25.87080306,69.14824776,7,87,2,0,5,22,0
17.33217962,69.14829989,4,21,5,20,13,6,1
16.95535953,69.14838735,8,74,2,8,6,24,1
17.45510204,69.14857302,5,47,5,17,9,3,1
19.02637133,69.14861034,3,31,10,12,1,50,0
27.33939947,69.14877937,4,36,1,11,7,46,1
10.85885679,69.14879771,5,85,9,17,11,13,1
28.6641608,69.14897993,3,40,3,5,8,27,0
14.45294853,69.14907866,5,55,10,20,5,53,0
14.31406383,69.14919803,6,40,9,21,8,8,1
22.19429844,69.14992846,1,77,7,7,2,31,1
29.10425118,69.15022453,7,44,0,7,10,40,0
17.08350627,69.15045315,6,66,8,15,6,8,1
21.15900408,69.15054819,8,10,10,7,14,49,0
15.92722769,69.15078122,5,81,5,11,11,57,1
18.63961316,69.15117957,10,91,8,12,3,54,0
21.8571533,69.15119379,9,98,8,24,2,22,0
14.08863002,69.15137064,5,13,10,11,7,16,0
11.45574289,69.15150894,2,6,2,21,0,43,0
13.2691107,69.1515138,8,75,0,18,8,11,1
30.30122219,69.15167946,9,96,5,4,2,50,1
12.21591649,69.15200208,4,9,10,25,0,8,0
16.79214094,69.1520268,9,95,7,5,6,45,0
13.88875596,69.15206886,4,25,9,14,5,31,1
26.02822709,69.1525555,4,27,5,15,8,48,1
11.11963675,69.15257776,2,26,5,10,12,38,0
17.04502516,69.15269923,1,32,7,12,10,6,0
25.28668673,69.15276838,5,28,9,24,2,37,1
17.23826347,69.15286496,10,52,2,22,7,25,1
23.22975533,69.15298508,9,34,9,25,3,58,1
12.24170936,69.15308101,4,36,5,23,0,55,0
29.57424888,69.15308191,5,71,5,22,7,37,0
19.72385074,69.15313032,8,64,1,2,6,54,1
11.65248746,69.15335911,7,27,1,15,0,53,1
16.40801196,69.15364202,3,91,5,12,11,4,1
24.12113585,69.15377859,5,82,2,15,3,21,1
12.20019515,69.15396532,2,63,6,13,5,39,1
28.45882804,69.15421836,5,82,5,21,9,32,1
22.83410436,69.15424163,4,83,1,14,11,51,0
18.54113901,69.1542441,2,82,9,22,2,48,0
18.67407843,69.15427855,5,73,0,17,4,20,1
29.89587044,69.15441118,0,59,5,19,11,22,0
27.12449565,69.15460406,2,93,6,14,11,7,0
21.65138328,69.15527653,1,91,9,19,12,33,1
16.05298763,69.15555564,3,90,4,22,13,51,0
26.72398411,69.15571729,3,70,9,9,13,14,1
15.86251616,69.1557223,1,1,7,3,8,8,1
16.55314208,69.15575214,2,12,5,20,6,0,0
12.23138388,69.15594975,4,52,6,21,1,5,1
27.5204034,69.15599879,6,39,9,15,5,22,0
25.22030003,69.15625022,6,97,5,25,7,48,0
18.53397216,69.15642672,5,42,3,5,7,55,1
27.78141647,69.15646169,7,92,5,7,11,53,0
27.99977903,69.15656037,3,39,3,19,10,14,0
15.89089633,69.1566059,0,61,4,9,7,15,0
10.96314065,69.15666226,7,5,4,6,2,11,0
30.3147289,69.15792759,6,29,7,11,13,58,0
18.76552397,69.15795184,1,41,1,5,6,2,1
28.9689951,69.15805632,3,27,6,11,9,2,1
14.20935966,69.15809556,6,17,6,10,11,31,1
18.41263981,69.15817216,1,55,2,5,5,54,0
15.86535346,69.15829707,1,54,3,2,3,15,0
26.53720682,69.15834688,10,2,2,22,0,50,0
21.05579724,69.15842415,0,92,4,19,0,38,1
28.45282382,69.15855983,8,70,2,9,14,33,0
24.39468181,69.15985873,7,0,0,7,13,2,1
20.78007081,69.1602806,6,78,6,1,0,46,1
26.07288817,69.16033629,9,42,5,24,7,60,1
29.26393953,69.16051544,2,78,4,2,0,29,0
27.60864903,69.16067533,4,100,9,16,12,26,1
14.65935711,69.1610946,4,13,10,23,7,52,1
15.10186307,69.16124832,4,31,8,18,14,8,1
24.90173599,69.16126991,6,55,7,7,4,20,0
18.11496765,69.16146529,1,16,3,22,0,58,0
